[Profiler] Pipeline IA tomo: 3.9733 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9084 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.93 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7413 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4379 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4718 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.5402 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.5463 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4893 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8533 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7511 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.59 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.6104 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.7495 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8392 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4582 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.8086 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.3538 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.3045 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4381 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9319 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9401 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.3149 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7521 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5681 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.491 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6742 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6569 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.2229 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5447 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.4622 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.5834 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4339 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7963 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0061 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7828 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8455 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.358 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.3533 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9273 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4423 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.2889 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.7622 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.0859 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0618 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.3753 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.1141 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.9533 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.2075 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.3376 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5969 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5188 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6447 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.8013 ms | Denoise: ON | VSR (0)
